timestamp,cpu_percent,memory_mb
1736912681.9239209,0.0,934.9609375
1736912682.9252229,125.0,990.37109375
1736912683.926418,303.1,994.2578125
1736912684.926977,223.4,996.3828125
1736912685.927586,262.5,996.39453125
1736912686.9280937,273.4,997.87890625
1736912687.9288948,275.0,998.296875
1736912688.9304647,314.1,997.78515625
1736912689.9323225,296.9,998.8203125
1736912690.933494,309.4,998.46875
1736912691.9344695,271.9,998.67578125
1736912692.9360514,285.9,998.03515625
1736912693.9374943,128.1,997.9609375
1736912694.9380877,120.3,998.55859375
1736912695.9389484,254.7,998.0703125
1736912696.9400597,284.5,997.51171875
1736912697.9409,262.5,998.38671875
1736912698.942241,287.5,995.90625
1736912699.9431162,201.6,998.4453125
1736912700.9443762,248.4,997.98828125
1736912701.9450135,237.5,998.09765625
1736912702.945685,268.8,997.48828125
1736912703.947326,275.0,997.93359375
1736912704.9482841,239.1,998.0546875
1736912705.9489822,226.6,998.13671875
1736912706.9498463,231.2,997.60546875
1736912707.9504921,298.4,995.953125
1736912708.9520469,267.2,996.28125
1736912709.9540875,237.5,997.2578125
1736912710.9548132,257.8,997.22265625
1736912711.9558215,235.3,997.45703125
1736912712.9573107,225.0,995.515625
1736912713.9609034,314.1,996.9140625
1736912714.9624362,240.6,996.9296875
1736912715.9628115,289.1,997.4296875
1736912716.9639199,182.8,995.47265625
1736912717.9652333,250.0,992.62109375
1736912718.9671159,273.4,996.91015625
1736912719.968274,264.1,995.13671875
1736912720.9687812,218.8,995.51953125
1736912721.969661,240.6,992.55078125
1736912722.9708583,214.0,993.01953125
1736912723.9717522,301.6,992.59375
1736912724.9723318,214.1,992.59765625
1736912725.9728816,273.4,992.55078125
1736912726.9736307,271.9,992.59375
1736912727.974561,262.5,992.5234375
1736912728.9758236,246.9,993.59765625
1736912729.9766319,201.6,998.87890625
1736912730.9780028,225.0,998.8984375
1736912731.97887,275.0,998.90234375
1736912732.9795508,309.4,998.7734375
1736912733.9802284,246.9,998.62109375
1736912734.9811342,257.8,998.77734375
1736912735.9817505,282.8,998.7734375
1736912736.982271,298.4,998.85546875
1736912737.9826152,295.3,998.7890625
1736912738.984172,298.4,998.66015625
1736912739.9853454,279.7,998.63671875
1736912740.9861858,326.6,998.66015625
1736912741.986774,252.2,998.35546875
1736912742.987985,146.9,998.48828125
1736912743.9892948,260.9,998.39453125
1736912744.9898796,200.0,998.34375
1736912745.9909866,221.9,998.38671875
1736912746.993958,259.4,998.625
1736912747.9958327,276.6,998.44140625
1736912748.9981484,287.5,998.2734375
1736912749.99931,273.4,998.3828125
1736912750.999847,292.2,998.5078125
1736912752.0007057,310.9,998.359375
1736912753.0012941,268.8,998.4296875
1736912754.0023081,235.3,998.5703125
1736912755.0031319,237.5,998.14453125
1736912756.0039754,254.7,998.4609375
1736912757.004845,239.1,998.28125
1736912758.0059767,253.1,998.48046875
1736912759.0066738,260.9,997.875
1736912760.0085127,307.8,997.88671875
1736912761.010028,314.1,998.0390625
1736912762.010631,254.7,998.42578125
1736912763.0113738,254.7,998.25
1736912764.0124252,271.9,998.51171875
1736912765.0137234,193.8,998.07421875
1736912766.014271,220.3,998.16796875
1736912767.0149124,103.1,997.46484375
1736912768.0159063,75.0,997.921875
1736912769.0165386,235.9,998.21484375
1736912770.0173514,256.2,997.88671875
1736912771.018189,243.2,997.23046875
1736912772.0188136,343.8,997.796875
1736912773.0198817,293.8,996.421875
1736912774.021214,246.9,997.984375
1736912775.0222154,253.1,997.2265625
1736912776.0240479,231.2,997.32421875
1736912777.0256574,184.4,998.296875
1736912778.0260859,201.6,998.32421875
1736912779.0268333,207.8,997.9453125
1736912780.0279646,267.2,997.1015625
1736912781.028844,256.2,997.91015625
1736912782.029242,231.2,997.97265625
1736912783.029932,271.9,996.0703125
1736912784.0309863,196.9,998.3984375
1736912785.0322928,285.9,995.94921875
1736912786.03354,258.4,997.46875
1736912787.03474,234.4,995.51171875
1736912788.035874,239.1,996.1484375
1736912789.0368152,253.1,998.171875
1736912790.0380347,220.3,997.40234375
1736912791.0387437,260.9,996.09375
1736912792.0398285,187.5,998.48046875
1736912793.041,231.2,997.41015625
1736912794.0422637,270.3,995.48828125
1736912795.0442815,237.5,997.8984375
1736912796.0451937,221.9,992.8828125
1736912797.0467627,298.4,997.4140625
1736912798.0472682,339.1,997.34765625
1736912799.048082,273.4,995.53515625
1736912800.0488608,337.1,995.93359375
1736912801.0496352,317.2,992.92578125
1736912802.051648,90.6,997.62109375
1736912803.0527575,167.2,993.26953125
1736912804.0538988,195.3,992.8984375
1736912805.0552886,251.6,996.1953125
1736912806.0562418,234.4,992.81640625
1736912807.0582309,254.7,995.89453125
1736912808.0595276,314.1,992.92578125
1736912809.0603209,267.2,992.84375
1736912810.0614681,260.9,992.74609375
1736912811.0621607,339.1,998.7109375
1736912812.0632696,325.0,998.97265625
1736912813.0642207,332.8,998.6484375
1736912814.0647213,166.1,999.47265625
1736912815.0659852,214.1,999.06640625
1736912816.0666997,307.8,998.6328125
1736912817.067722,220.3,998.8828125
1736912818.068817,95.3,999.203125
1736912819.070552,212.5,998.55078125
1736912820.0730875,206.2,998.57421875
1736912821.074911,210.9,998.58203125
1736912822.0763626,210.9,998.46875
1736912823.077017,273.4,998.4140625
1736912824.0784783,275.0,998.4609375
1736912825.079343,345.3,998.72265625
1736912826.0803494,296.8,998.55859375
1736912827.0816133,231.2,998.6796875
1736912828.0836015,365.6,998.5234375
1736912829.0845788,385.9,998.59765625
1736912830.0860004,290.6,998.765625
1736912831.0870025,340.6,998.5234375
1736912832.0884254,307.8,998.42578125
1736912833.0889308,271.9,998.66796875
1736912834.089474,298.4,998.44140625
1736912835.0911815,326.6,998.86328125
1736912836.0920556,285.9,998.59765625
